EMPLOYEE_ID,HOSPITAL_ID,DEPARTMENT_ID,EMPLOYEE_FIRST_NAME,EMPLOYEE_LAST_NAME,EMPLOYEE_TYPE,EMAIL_ID
1,1,1,Aadhya,Pillai,DOCTOR,aadhya.pillai@hms.com
2,1,1,Krishna,Kumar,DOCTOR,krishna.kumar@hms.com
3,1,1,Krishna,Joshi,STAFF,krishna.joshi@hms.com
4,1,1,Krishna,Kumar,STAFF,krishna.kumar@hms.com
5,1,2,Sneha,Patel,DOCTOR,sneha.patel@hms.com
6,1,2,Aadhya,Singh,DOCTOR,aadhya.singh@hms.com
7,1,2,Ishaan,Singh,STAFF,ishaan.singh@hms.com
8,1,2,Diya,Nair,STAFF,diya.nair@hms.com
9,1,3,Krishna,Desai,DOCTOR,krishna.desai@hms.com
10,1,3,Arjun,Desai,DOCTOR,arjun.desai@hms.com
11,1,3,Sai,Sharma,STAFF,sai.sharma@hms.com
12,1,3,Riya,Verma,STAFF,riya.verma@hms.com
13,1,4,Reyansh,Chatterjee,DOCTOR,reyansh.chatterjee@hms.com
14,1,4,Arjun,Nair,DOCTOR,arjun.nair@hms.com
15,1,4,Karan,Menon,STAFF,karan.menon@hms.com
16,1,4,Ananya,Reddy,STAFF,ananya.reddy@hms.com
17,2,5,Advika,Kumar,DOCTOR,advika.kumar@hms.com
18,2,5,Pooja,Pillai,DOCTOR,pooja.pillai@hms.com
19,2,5,Vivaan,Verma,STAFF,vivaan.verma@hms.com
20,2,5,Rahul,Reddy,STAFF,rahul.reddy@hms.com
21,2,6,Priya,Chatterjee,DOCTOR,priya.chatterjee@hms.com
22,2,6,Priya,Singh,DOCTOR,priya.singh@hms.com
23,2,6,Aarav,Gupta,STAFF,aarav.gupta@hms.com
24,2,6,Diya,Rao,STAFF,diya.rao@hms.com
25,2,7,Atharv,Joshi,DOCTOR,atharv.joshi@hms.com
26,2,7,Rohit,Iyer,DOCTOR,rohit.iyer@hms.com
27,2,7,Advika,Chatterjee,STAFF,advika.chatterjee@hms.com
28,2,7,Rohit,Sharma,STAFF,rohit.sharma@hms.com
29,2,8,Rahul,Joshi,DOCTOR,rahul.joshi@hms.com
30,2,8,Neha,Rao,DOCTOR,neha.rao@hms.com
31,2,8,Aarav,Verma,STAFF,aarav.verma@hms.com
32,2,8,Advika,Nair,STAFF,advika.nair@hms.com
33,3,9,Aditya,Desai,DOCTOR,aditya.desai@hms.com
34,3,9,Avni,Reddy,DOCTOR,avni.reddy@hms.com
35,3,9,Aditya,Yadav,STAFF,aditya.yadav@hms.com
36,3,9,Reyansh,Desai,STAFF,reyansh.desai@hms.com
37,3,10,Aarav,Das,DOCTOR,aarav.das@hms.com
38,3,10,Ayaan,Das,DOCTOR,ayaan.das@hms.com
39,3,10,Advika,Desai,STAFF,advika.desai@hms.com
40,3,10,Pooja,Chatterjee,STAFF,pooja.chatterjee@hms.com
41,3,11,Pari,Patel,DOCTOR,pari.patel@hms.com
42,3,11,Atharv,Nair,DOCTOR,atharv.nair@hms.com
43,3,11,Arjun,Joshi,STAFF,arjun.joshi@hms.com
44,3,11,Aarav,Patel,STAFF,aarav.patel@hms.com
45,3,12,Saanvi,Verma,DOCTOR,saanvi.verma@hms.com
46,3,12,Vihaan,Chatterjee,DOCTOR,vihaan.chatterjee@hms.com
47,3,12,Aditya,Joshi,STAFF,aditya.joshi@hms.com
48,3,12,Sneha,Singh,STAFF,sneha.singh@hms.com
