PHONE_RECORD_ID,EMPLOYEE_ID,PHONE1,PHONE2
1,1,9637776338,
2,2,9370718637,
3,3,9790241826,
4,4,9774090237,
5,5,9715356215,
6,6,9382869420,
7,7,9914508943,
8,8,9993704152,
9,9,9589839796,
10,10,9636269822,
11,11,9995872551,
12,12,9776178326,
13,13,9654485703,
14,14,9907042777,
15,15,9905882160,
16,16,9723887479,
17,17,9557093601,
18,18,9928614443,
19,19,9582258053,
20,20,9347120721,
21,21,9989498342,
22,22,9130524983,
23,23,9183578001,
24,24,9934174682,
25,25,9537572899,
26,26,9420752399,
27,27,9368555739,
28,28,9855206093,
29,29,9787283522,
30,30,9638039796,
31,31,9484770061,
32,32,9404953081,
33,33,9505310718,
34,34,9921564497,
35,35,9364262562,
36,36,9188417431,
37,37,9912502450,
38,38,9510034093,
39,39,9897898667,
40,40,9763414389,
41,41,9289599617,
42,42,9881844578,
43,43,9585023775,
44,44,9243872082,
45,45,9609251897,
46,46,9159564791,
47,47,9718035487,
48,48,9892119592,
