EMPLOYEE_ID,HOSPITAL_ID,DEPARTMENT_ID,EMPLOYEE_FIRST_NAME,EMPLOYEE_LAST_NAME,EMPLOYEE_TYPE,EMAIL_ID
1,1,1,Arjun,Reddy,DOCTOR,arjun.reddy@hms.com
2,1,1,Aadhya,Singh,DOCTOR,aadhya.singh@hms.com
3,1,1,Pari,Joshi,STAFF,pari.joshi@hms.com
4,1,1,Diya,Iyer,STAFF,diya.iyer@hms.com
5,1,2,Diya,Reddy,DOCTOR,diya.reddy@hms.com
6,1,2,Neha,Patel,DOCTOR,neha.patel@hms.com
7,1,2,Ayaan,Sharma,STAFF,ayaan.sharma@hms.com
8,1,2,Ishaan,Singh,STAFF,ishaan.singh@hms.com
9,1,3,Aarohi,Nair,DOCTOR,aarohi.nair@hms.com
10,1,3,Pooja,Reddy,DOCTOR,pooja.reddy@hms.com
11,1,3,Reyansh,Sharma,STAFF,reyansh.sharma@hms.com
12,1,3,Riya,Iyer,STAFF,riya.iyer@hms.com
13,1,4,Ayaan,Pillai,DOCTOR,ayaan.pillai@hms.com
14,1,4,Riya,Iyer,DOCTOR,riya.iyer@hms.com
15,1,4,Karan,Reddy,STAFF,karan.reddy@hms.com
16,1,4,Pari,Pillai,STAFF,pari.pillai@hms.com
17,2,5,Sai,Pillai,DOCTOR,sai.pillai@hms.com
18,2,5,Shruti,Nair,DOCTOR,shruti.nair@hms.com
19,2,5,Aadhya,Patel,STAFF,aadhya.patel@hms.com
20,2,5,Rahul,Rao,STAFF,rahul.rao@hms.com
21,2,6,Reyansh,Iyer,DOCTOR,reyansh.iyer@hms.com
22,2,6,Vivaan,Singh,DOCTOR,vivaan.singh@hms.com
23,2,6,Reyansh,Singh,STAFF,reyansh.singh@hms.com
24,2,6,Krishna,Menon,STAFF,krishna.menon@hms.com
25,2,7,Neha,Chatterjee,DOCTOR,neha.chatterjee@hms.com
26,2,7,Aarohi,Sharma,DOCTOR,aarohi.sharma@hms.com
27,2,7,Saanvi,Desai,STAFF,saanvi.desai@hms.com
28,2,7,Aditya,Gupta,STAFF,aditya.gupta@hms.com
29,2,8,Sneha,Singh,DOCTOR,sneha.singh@hms.com
30,2,8,Shaurya,Singh,DOCTOR,shaurya.singh@hms.com
31,2,8,Rahul,Patel,STAFF,rahul.patel@hms.com
32,2,8,Arjun,Das,STAFF,arjun.das@hms.com
33,3,9,Jiya,Kumar,DOCTOR,jiya.kumar@hms.com
34,3,9,Pooja,Patel,DOCTOR,pooja.patel@hms.com
35,3,9,Shaurya,Desai,STAFF,shaurya.desai@hms.com
36,3,9,Neha,Sharma,STAFF,neha.sharma@hms.com
37,3,10,Vihaan,Das,DOCTOR,vihaan.das@hms.com
38,3,10,Karan,Nair,DOCTOR,karan.nair@hms.com
39,3,10,Jiya,Singh,STAFF,jiya.singh@hms.com
40,3,10,Vivaan,Singh,STAFF,vivaan.singh@hms.com
41,3,11,Saanvi,Das,DOCTOR,saanvi.das@hms.com
42,3,11,Aadhya,Sharma,DOCTOR,aadhya.sharma@hms.com
43,3,11,Karan,Singh,STAFF,karan.singh@hms.com
44,3,11,Ananya,Desai,STAFF,ananya.desai@hms.com
45,3,12,Aadhya,Singh,DOCTOR,aadhya.singh@hms.com
46,3,12,Aarohi,Nair,DOCTOR,aarohi.nair@hms.com
47,3,12,Jiya,Rao,STAFF,jiya.rao@hms.com
48,3,12,Pooja,Menon,STAFF,pooja.menon@hms.com
